,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,MA200,Daily_Return
count,2416,2416,2416,2416,2416,2416,2397,2367,2217,2415
mean,186.27114660016557,189.5782242562086,182.91663908236757,186.40365078187088,186.40365078187088,5572721.688741722,185.46715384230285,184.8745341087199,186.72988694467975,0.001975482591703647
std,118.74016318157172,120.89232871387047,116.85759099326673,119.13601997634152,119.13601997634152,4987809.151888423,115.69170062444245,112.89591530685034,107.62121978685755,0.03276198902831051
min,16.139999,16.629999,14.98,15.8,15.8,118500,19.27800035,19.67200002,23.726350005,-0.19327430088495579
25%,34.3424985,34.897501250000005,33.587500500000004,34.400002,34.400002,1899275,34.28800015,34.29210023,46.04000003,-0.014178467766550629
50%,213.03500350000002,216.7450025,208.8700025,212.960007,212.960007,4578400,214.8089988,216.80459906,222.70244997999998,0.000870131888303094
75%,266.450012,270.92751275,262.10250075,266.774994,266.774994,7361150,267.1070031,261.29320226000004,267.56165026,0.018114660710248143
max,673.690002,786.140015,673.52002,780,780,47065000,550.4285019000001,443.60020204,339.50605011500005,0.24395054232029856
