,Price,Close,High,Low,Open,Volume,MA20,MA50,MA200,Daily_Return
count,0,756,756,756,756,756,737,707,557,755
mean,,206.36550178981963,211.40911700233582,201.22092942586022,206.59513310023718,131862206.74603175,209.50888510125623,213.62439006023055,229.66561772449228,0.002964538778477736
std,,95.85697513146921,98.05277657654217,93.70148353326293,96.04938787375066,100132666.2632827,93.19089697589831,89.49035624072557,67.09648342056136,0.04547428003519204
min,,24.08133316040039,26.99066734313965,23.367332458496094,24.979999542236328,29401800,32.57530040740967,41.83318687438965,75.65274651527405,-0.21062824320390794
25%,,138.2708282470703,141.93000030517578,135.54417037963867,138.63333892822266,68904975,141.4754997253418,143.0166323852539,191.56665615081786,-0.02147972930074743
50%,,223.65166473388672,229.25,218.17499542236328,223.96499633789062,94390350,227.52266693115234,232.804599609375,246.12440048217775,0.0019526425140827808
75%,,276.56500244140625,283.4125061035156,270.4108276367187,278.2816696166992,157776325,280.14083404541014,277.3944679260254,286.25578330993653,0.024981043895301536
max,,409.9700012207031,414.4966735839844,405.6666564941406,411.4700012207031,914082000,373.15249786376955,357.8705322265625,304.789333114624,0.19894859376394924
